Data Rif;Category;Segment;Products;Customers;Regione;Provincia;Channel;Standard Units
42738;Tamponi;Blue Box;Product 1;Customer 82;Veneto;PD;DRUGSTORE;204
42738;Tamponi;Blue Box;Product 1;Customer 113;Lombardia;BG;GD;17
42738;Tamponi;Blue Box;Product 3;Customer 43;Trentino Alto Adige;TN;DO;28
42738;Tamponi;Blue Box;Product 3;Customer 82;Veneto;PD;DRUGSTORE;588
42738;Tamponi;Blue Box;Product 4;Customer 30;Piemonte;NO;GD;24
42738;Tamponi;Blue Box;Product 4;Customer 30;Piemonte;TO;GD;12
42738;Tamponi;Blue Box;Product 4;Customer 67;Lombardia;MI;GD;202,66616
42738;Tamponi;Blue Box;Product 4;Customer 67;Toscana;FI;GD;101,33308
42738;Tamponi;Blue Box;Product 4;Customer 148;Sicilia;ME;GD;12
42738;Tamponi;Blue Box;Product 5;Customer 43;Trentino Alto Adige;TN;DO;24
42738;Tamponi;Blue Box;Product 5;Customer 44;Emilia Romagna;RE;DO;72
42738;Tamponi;Blue Box;Product 5;Customer 82;Veneto;PD;DRUGSTORE;576
42738;Tamponi;Blue Box;Product 5;Customer 113;Basilicata;PZ;GD;12
42738;Tamponi;Blue Box;Product 5;Customer 113;Lombardia;BG;GD;72
42738;Tamponi;Blue Box;Product 6;Customer 82;Veneto;PD;DRUGSTORE;360
42738;Tamponi;Blue Box;Product 7;Customer 54;Piemonte;VC;GD;180
42738;Tamponi;Blue Box;Product 7;Customer 67;Lombardia;MI;GD;67,99983
42738;Tamponi;Blue Box;Product 7;Customer 159;Toscana;FI;GD;60
42738;Tamponi;Compak;Product 8;Customer 44;Emilia Romagna;RE;DO;112
42738;Tamponi;Compak;Product 8;Customer 82;Veneto;PD;DRUGSTORE;224
42738;Tamponi;Compak;Product 8;Customer 113;Lombardia;BG;GD;16
42738;Tamponi;Compak;Product 10;Customer 82;Veneto;PD;DRUGSTORE;456
42738;Tamponi;Compak;Product 10;Customer 113;Lombardia;BG;GD;15,2
42738;Tamponi;Compak;Product 11;Customer 67;Toscana;FI;GD;14,4
42738;Tamponi;Digital;Product 13;Customer 148;Sicilia;ME;GD;12,7932
42738;Tamponi;Digital;Product 15;Customer 82;Veneto;PD;DRUGSTORE;21,322
42739;Tamponi;Blue Box;Product 1;Customer 75;Lazio;RM;GD;17
42739;Tamponi;Blue Box;Product 3;Customer 75;Lazio;RM;GD;42
42739;Tamponi;Blue Box;Product 3;Customer 104;Sicilia;CL;DRUGSTORE;28
42739;Tamponi;Blue Box;Product 4;Customer 150;Veneto;VR;DO;36
42739;Tamponi;Blue Box;Product 5;Customer 75;Lazio;RM;GD;72
42739;Tamponi;Blue Box;Product 5;Customer 104;Sicilia;CL;DRUGSTORE;72
42739;Tamponi;Blue Box;Product 5;Customer 113;Sardegna;CA;GD;5
42739;Tamponi;Blue Box;Product 7;Customer 54;Liguria;GE;GD;60
42739;Tamponi;Blue Box;Product 7;Customer 91;Umbria;PG;DO;10
42739;Tamponi;Compak;Product 8;Customer 75;Lazio;RM;GD;32
42739;Tamponi;Compak;Product 8;Customer 104;Sicilia;CL;DRUGSTORE;32
42739;Tamponi;Compak;Product 8;Customer 147;Lombardia;BS;GD;16
42739;Tamponi;Compak;Product 8;Customer 147;Veneto;PD;GD;16
42739;Tamponi;Compak;Product 9;Customer 54;Lombardia;MI;GD;126,0504
42739;Tamponi;Compak;Product 9;Customer 91;Umbria;PG;DO;18,0072
42739;Tamponi;Compak;Product 10;Customer 75;Lazio;RM;GD;30,4
42739;Tamponi;Compak;Product 10;Customer 104;Sicilia;CL;DRUGSTORE;45,6
42739;Tamponi;Compak;Product 10;Customer 147;Veneto;PD;GD;15,2
42739;Tamponi;Compak;Product 11;Customer 54;Lombardia;MI;GD;86,43456
42739;Tamponi;Compak;Product 11;Customer 91;Umbria;PG;DO;14,40576
42739;Tamponi;Digital;Product 15;Customer 91;Umbria;PG;DO;10,661
42740;Tamponi;Blue Box;Product 1;Customer 93;Lombardia;MI;DO;34
42740;Tamponi;Blue Box;Product 2;Customer 53;Emilia Romagna;RA;GD;1
42740;Tamponi;Blue Box;Product 2;Customer 53;Friuli Venezia Giulia;TS;GD;1
42740;Tamponi;Blue Box;Product 3;Customer 33;Marche;AN;DO;14
42740;Tamponi;Blue Box;Product 3;Customer 44;Lombardia;BG;DO;98
42740;Tamponi;Blue Box;Product 3;Customer 93;Lombardia;MI;DO;42
42740;Tamponi;Blue Box;Product 3;Customer 147;Lazio;RM;GD;14
42740;Tamponi;Blue Box;Product 4;Customer 24;Veneto;RO;DO;96
42740;Tamponi;Blue Box;Product 4;Customer 53;Friuli Venezia Giulia;TS;GD;3
42740;Tamponi;Blue Box;Product 4;Customer 53;Lombardia;MN;GD;3
42740;Tamponi;Blue Box;Product 5;Customer 7;Veneto;PD;DO;72
42740;Tamponi;Blue Box;Product 5;Customer 46;Sicilia;PA;DO;12
42740;Tamponi;Blue Box;Product 5;Customer 93;Lombardia;MI;DO;72
42740;Tamponi;Blue Box;Product 5;Customer 147;Lazio;RM;GD;12
42740;Tamponi;Blue Box;Product 7;Customer 30;Piemonte;NO;GD;60
42740;Tamponi;Blue Box;Product 7;Customer 53;Friuli Venezia Giulia;TS;GD;3
